derived_equation_id,model_tag_id,formula_expression,active
236,1579,[ETH_LPS_Demand]+[EOEG_1_LPS_Demand]+[EOEG_2_LPS_Demand]+[EOEG_3_LPS_Demand]+[Deaerator_A_LPS]+[Deaerator_B_LPS]+[LP_Steam_Vent_valve_PV0024B_Steam_flow_out_UO]+[LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO],1
237,1599,[VHP_BFW_FROM_U_O]+[VHP_DESPHTR_BFW_FROM_U_O]+[BFW_to_EOEG_1] + [BFW_to_EOEG_2] +[BFW_to_EOEG_3] + [BFW_TO_LAO] + [DSP_BFW_TO_ETH] +[DSP_BFW_TO_EG1] +[DSP_BFW_TO_EG2] +[DSP_BFW_TO_EG3] +[DSP_BFW_TO_CAUSTIC_DILUTION] + [Total_BLR_HPS_Generation]/.99,1
238,1456,[LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[Boiler_CBD]+[Condensate_from_Traps],1
239,1467,2+2,0
240,1589,2+6,0
241,1472,1+1+2,0
243,355,(1-[Whatif_running])*[BFW_Imbalance] + [Whatif_running]*([act_BFW_Imbalance]*[Total_BFW_Consumption]/[act_Total_BFW_Consumption]),1
244,782,[DMW_Imbalance] + [DMW_Makeup],1
245,1136,[BFW_Drives_Running]-[BFW_Turbines_Running],1
246,2917,[BLR_1_Status]*(0.0005*([BLR_1_HPS_Gen])**2-0.0559*([BLR_1_HPS_Gen])+5.5697),0
247,23,[Fuel_BLR_1]*[LHV] / [Spec_En_Cons_BLR_1]*[BLR_1_Status],0
248,2632,[BFW_A_Motor_Status]*([BFW_A_Motor_Power_Regression]-((-0.0016*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_A_Motor_Status])))**2+ 1.8045*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_A_Motor_Status]))) + 401.61)/1000)/0.95),1
