constraint_id,model_id,constraint_category_id,system,expression,active
94,1,2,BFW Drives,([BFW_pump_Rated_Flow]*([BFW_A_Motor_Status]+[BFW_B_Turb_Status]+[BFW_C_Turb_Status]+[BFW_D_Motor_Status]+[BFW_E_Turb_Status]+[BFW_F_Motor_Status])>=[BFW_Flow_Consumption]+ [Buffer_in_BFW_Flow_Margin]),1
95,1,2,Tests 123,SDD1S]J_NK.{wEElKEmg}E[V,0
96,2,3,HP_to_MP letdown,([HP_to_MP_Letdown_MPS_Flow_Out_PV0007A_UO]*701==[HP_to_MP_Letdown_HPS_Flow_In_PV0007A_UO]*[HP_Steam_Enthalpy]+[BFW_to_HP_to_MP_Letdown_Flow_In_PV0007A_UO]*109),1
97,2,3,HP_to_MP letdown,([HP_to_MP_Letdown_MPS_Flow_Out_PV0007B_UO]*701==[HP_to_MP_Letdown_HPS_Flow_In_PV0007B_UO]*[HP_Steam_Enthalpy]+[BFW_to_HP_to_MP_Letdown_Flow_In_PV0007B_UO]*109),1
98,2,4,HP_to_MP letdown,([HP_to_MP_Letdown_MPS_Flow_Out_PV0007A_UO]==[HP_to_MP_Letdown_HPS_Flow_In_PV0007A_UO]+[BFW_to_HP_to_MP_Letdown_Flow_In_PV0007A_UO]),1
99,2,4,HP_to_MP letdown,([HP_to_MP_Letdown_MPS_Flow_Out_PV0007B_UO]==[HP_to_MP_Letdown_HPS_Flow_In_PV0007B_UO]+[BFW_to_HP_to_MP_Letdown_Flow_In_PV0007B_UO]),1
100,2,4,Deaerator,([Total_BFW_Generated]==[Return_Condensate]+[DMW_Makeup]+[Deaerator_A_LPS]-[Deaerator_A_LPS_Vent]+[Deaerator_B_LPS]-[Deaerator_B_LPS_Vent]+[Condensate_From_P_7106_to_Deaerator_Header]),1
101,2,3,Deaerator,([Total_BFW_Generated]*109==[Return_Condensate]*75+[DMW_Makeup]*40+([Deaerator_A_LPS]-[Deaerator_A_LPS_Vent]+[Deaerator_B_LPS]-[Deaerator_B_LPS_Vent])*684+[Condensate_From_P_7106_to_Deaerator_Header]*75+[BFW_Imbalance_Enthalpy]),1
102,2,2,BFW Drives,([BFW_pump_Rated_Flow]*([BFW_A_Motor_Status]+[BFW_B_Turb_Status]+[BFW_C_Turb_Status]+[BFW_D_Motor_Status]+[BFW_E_Turb_Status]+[BFW_F_Motor_Status])>=[BFW_Flow_Consumption]+ [Buffer_in_BFW_Flow_Margin]),1
103,2,2,VHP_BFW Drives,([VHP_pump_Rated_Flow]*([VHP_BFW_A_Motor_Status]+[VHP_BFW_B_Turb_Status]+[VHP_BFW_C_Turb_Status])>=[VHP_Flow_Demand] + [Buffer_in_VHP_Flow_Margin]),1
104,2,2,CW Drives,(([Air_Compressor_A_Rated_Flow]*[Air_Compressor_Turbine_A_Status] + [Air_Compressor_B_Rated_Flow]*[Air_Compressor_Motor_B_Status] +[Air_Compressor_C_Rated_Flow]*[Air_Compressor_Motor_C_Status]+[Air_Compressor_D_Rated_Flow]*[Air_Compressor_Turbine_D_Status])>=[Total_Air_Demand]+ [Buffer_in_Air_Flow_Margin]),1
105,2,5,Boilers,[BLR_1_HPS_Gen] >= 50*[BLR_1_Status],1
106,2,5,Boilers,[BLR_2_HPS_Gen] >= 50*[BLR_2_Status],1
107,2,5,Boilers,[BLR_3_HPS_Gen] >= 50*[BLR_3_Status],1
108,2,5,Boilers,[BLR_4_HPS_Gen] >= 50*[BLR_4_Status],1
109,2,5,Boilers,[BLR_5_HPS_Gen] >= 50*[BLR_5_Status],1
110,2,5,Boilers,[Fuel_BLR_1] >= 0.000001*[BLR_1_Status],1
111,2,5,Boilers,[Fuel_BLR_2] >= 0.000001*[BLR_2_Status],1
112,2,5,Boilers,[Fuel_BLR_3] >= 0.000001*[BLR_3_Status],1
113,2,5,Boilers,[Fuel_BLR_4] >= 0.000001*[BLR_4_Status],1
114,2,5,Boilers,[Fuel_BLR_5] >= 0.000001*[BLR_5_Status],1
115,2,2,Boilers,[Buffer_Steam_in_Boilers]+[Total_BLR_HPS_Generation] <= [BLR_1_Status]*[BLR_1_Capacity] + [BLR_2_Status]*[BLR_2_Capacity] + [BLR_3_Status]*[BLR_3_Capacity] + [BLR_4_Status]*[BLR_4_Capacity] + [BLR_5_Status]*[BLR_5_Capacity],1
116,2,1,HP Steam,[Total_BLR_HPS_Generation]==[HP_Steam_Imbalance]+[HP_Steam_Consumption],1
117,2,1,MP Steam,[MP_Steam_Generation]==[MP_Steam_Imbalance]+[MP_Steam_Consumption],1
118,2,1,LP Steam,[LP_Steam_Generation]==[LP_Steam_Imbalance]+[LP_Steam_Consumption],1
119,2,1,BF Water,[Total_BFW_Generated] == [BFW_Imbalance]+[Total_BFW_Consumption],1
120,2,3,Boiler 2,1+1,0
121,2,1,boiler3,2+6,0
123,2,1,Test system 24,1+2,1
124,1,1,sssssassas,aaaaa,0
125,2,5,Testing3,2+8,0
126,2,2,testing1,2+10,1
127,2,2,testinganother,3+6,0
128,2,2,testing1234,3+5,1
129,1,1,DMW Drives,[DMW_Pump_Rated_Flow]*([DMW_Turbine_A_Status] + [DMW_Pump_Motor_B_Status] + [DMW_Turbine_C_Status])>= ([Total_DMW_Demand]+[Buffer_in_DWM_Flow_Margin]),0
131,1,5,HP Steam,[Total_BLR_HPS_Generation]<=[Total_BLR_HPS_Generation_ub],0
132,2,1,test222,2+2,1
133,2,2,ateek_11,-4-9,1
134,2,2,new_1,2-1,0
135,2,2,if92-1,9-8,0
136,2,2,ateek-train,if(2>4,1
137,1,4,Deaerator,([Total_BFW_Generated]==[Return_Condensate]+[DMW_Makeup]+[Deaerator_A_LPS]+[Deaerator_B_LPS]+[Condensate_From_P_7106_to_Deaerator_Header]),0
138,1,3,Deaerator,([Total_BFW_Generated]*109==[Return_Condensate]*75+[DMW_Makeup]*40+([Deaerator_A_LPS]+[Deaerator_B_LPS])*684+[Condensate_From_P_7106_to_Deaerator_Header]*75+[BFW_Imbalance_Enthalpy]),0
139,1,2,VHP_BFW Drives,([VHP_pump_Rated_Flow]*([VHP_BFW_A_Motor_Status]+[VHP_BFW_B_Turb_Status]+[VHP_BFW_C_Turb_Status])>=[VHP_Flow_Demand] + [Buffer_in_VHP_Flow_Margin]),1
141,1,5,Objective,[Total_Power_Consumption]*3.6*[Power_Rate] + ([Total_Fuel_Supply])*([LHV])*[Fuel_Rate] + [DMW_Makeup]*[DMW_Rate]<=[Energy_Bill],0
142,1,5,Boilers,[BLR_2_HPS_Gen] >= 50*[BLR_2_Status],1
143,1,5,BFW Drives,[BFW_B_Turb_Steam] >= 14.5*[BFW_B_Turb_Status],0
144,1,5,BFW Drives,[BFW_C_Turb_Steam] >= 14.5*[BFW_C_Turb_Status],0
145,1,5,BFW Drives,[BFW_E_Turb_Steam] >= 14.5*[BFW_E_Turb_Status],0
146,1,5,VHP_BFW Drives,[VHP_BFW_B_Turb_Steam] >= 28*[VHP_BFW_B_Turb_Status],0
