short_name,network,plant,group,element_type,instance,pi_tag_base,status_tag,status_value,is_on,element_path
OLF FurnaceH,Specific Energy Consumers,OLF [OLF],Fuel Energy,OLF Furnace,H,OLF.OLF.FRN-108,Furnace_8_Status,1.0,True,United > Specific Energy Consumers > OLF [OLF] > Fuel Energy > OLF FurnaceH
OLF FurnaceI,Specific Energy Consumers,OLF [OLF],Fuel Energy,OLF Furnace,I,OLF.OLF.FRN-109,Furnace_9_Status,1.0,True,United > Specific Energy Consumers > OLF [OLF] > Fuel Energy > OLF FurnaceI
OLF TurbineA,Specific Energy Consumers,OLF [OLF],Steam Energy,OLF Turbine,A,OLF.OLF.TBN-101,CW_Turbine_A_Status,0.0,False,United > Specific Energy Consumers > OLF [OLF] > Steam Energy > OLF TurbineA
OLF TurbineB,Specific Energy Consumers,OLF [OLF],Steam Energy,OLF Turbine,B,OLF.OLF.TBN-102,CW_Turbine_B_Status,0.0,False,United > Specific Energy Consumers > OLF [OLF] > Steam Energy > OLF TurbineB
OLF TurbineC,Specific Energy Consumers,OLF [OLF],Steam Energy,OLF Turbine,C,OLF.OLF.TBN-103,CW_Turbine_G_Status,0.0,False,United > Specific Energy Consumers > OLF [OLF] > Steam Energy > OLF TurbineC
OLF Steam ExchangerA,Specific Energy Consumers,OLF [OLF],Steam Energy,OLF Steam Exchanger,A,OLF.OLF.SHX-101,E_1102_Status,1.0,True,United > Specific Energy Consumers > OLF [OLF] > Steam Energy > OLF Steam ExchangerA
EG1 CompressorA,Specific Energy Consumers,EG1 [EG1],Electric Energy,EG1 Compressor,A,EG1.EG1.COMP-101,KM_2115_Status,0.0,False,United > Specific Energy Consumers > EG1 [EG1] > Electric Energy > EG1 CompressorA
EG1 ReboilerA,Specific Energy Consumers,EG1 [EG1],Steam Energy,EG1 Reboiler,A,EG1.EG1.REB-101,EG1_Stripping_status,0.0,False,United > Specific Energy Consumers > EG1 [EG1] > Steam Energy > EG1 ReboilerA
EG1 ReboilerB,Specific Energy Consumers,EG1 [EG1],Steam Energy,EG1 Reboiler,B,EG1.EG1.REB-102,EG1_Stripping_status,0.0,False,United > Specific Energy Consumers > EG1 [EG1] > Steam Energy > EG1 ReboilerB
EG1 ReboilerC,Specific Energy Consumers,EG1 [EG1],Steam Energy,EG1 Reboiler,C,EG1.EG1.REB-103,EG1_Stripping_status,0.0,False,United > Specific Energy Consumers > EG1 [EG1] > Steam Energy > EG1 ReboilerC
EG1 Live Steam InjectionA,Specific Energy Consumers,EG1 [EG1],Steam Energy,EG1 Live Steam Injection,A,EG1.EG1.LSI-101,EG1_Stripping_status,0.0,False,United > Specific Energy Consumers > EG1 [EG1] > Steam Energy > EG1 Live Steam InjectionA
EG1 Live Steam InjectionB,Specific Energy Consumers,EG1 [EG1],Steam Energy,EG1 Live Steam Injection,B,EG1.EG1.LSI-102,EG1_Stripping_status,0.0,False,United > Specific Energy Consumers > EG1 [EG1] > Steam Energy > EG1 Live Steam InjectionB
EG1 Steam ExchangerA,Specific Energy Consumers,EG1 [EG1],Steam Energy,EG1 Steam Exchanger,A,EG1.EG1.SHX-101,E_2531_Status,0.0,False,United > Specific Energy Consumers > EG1 [EG1] > Steam Energy > EG1 Steam ExchangerA
EG2 CompressorA,Specific Energy Consumers,EG2 [EG2],Electric Energy,EG2 Compressor,A,EG2.EG2.COMP-101,KM_4115_Status,0.0,False,United > Specific Energy Consumers > EG2 [EG2] > Electric Energy > EG2 CompressorA
EG2 Live Steam InjectionA,Specific Energy Consumers,EG2 [EG2],Steam Energy,EG2 Live Steam Injection,A,EG2.EG2.LSI-101,EG2_Stripping_status,0.0,False,United > Specific Energy Consumers > EG2 [EG2] > Steam Energy > EG2 Live Steam InjectionA
